City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,midvagur,62.0511,-7.1939,9.46,93,100,2.57,FO,1689879400
166,matadi,-5.8167,13.45,24.27,64,52,3.28,CD,1689879853
167,pechora,65.1472,57.2244,18.25,83,86,2.5,RU,1689879854
168,thompson,55.7435,-97.8558,25.09,50,75,3.6,CA,1689879854
169,leava,-14.3,-178.1667,27.59,80,100,5.15,WF,1689879855
170,boguchany,58.3814,97.4531,15.63,60,0,1.36,RU,1689879562
171,kosikha,53.3617,84.5822,16.57,97,99,2.83,RU,1689879856
172,coronel vivida,-25.9797,-52.5678,18.45,76,82,2.62,BR,1689879856
173,sychevka,55.8252,34.2736,13.48,67,86,3.22,RU,1689879857
174,hargeysa,9.56,44.065,23.18,59,100,8.46,SO,1689879857
175,cambria,35.5641,-121.0808,33.64,56,24,3.68,US,1689879858
176,kyren,51.6828,102.1408,13.05,94,38,0.28,RU,1689879703
177,cabedelo,-6.9811,-34.8339,27.37,73,45,8.39,BR,1689879859
178,ciudad bolivar,8.1222,-63.5497,31.42,54,100,3.92,VE,1689879860
179,eilat,29.5581,34.9482,35.91,20,0,3.6,IL,1689879860
180,itaituba,-4.2761,-55.9836,36.09,44,20,2.06,BR,1689879701
181,karratha,-20.7377,116.8463,19.01,43,1,4.32,AU,1689879861
182,ulsteinvik,62.3432,5.8487,14.07,91,100,0.89,NO,1689879418
183,port pirie,-33.1833,138.0167,7.17,83,9,1.61,AU,1689879863
184,kuusamo,65.9667,29.1833,13.11,98,100,1.57,FI,1689879395
185,utrik,11.2278,169.8474,28.51,77,32,8.5,MH,1689879658
186,mermoz boabab,14.7065,-17.4758,27.88,78,40,3.09,SN,1689879865
187,fisterra,42.9049,-9.2629,21.53,82,0,3.37,ES,1689879772
188,nemuro,43.3236,145.575,13.87,93,1,2.44,JP,1689879866
189,badger,64.8,-147.5333,17.51,92,100,1.54,US,1689879866
190,piacabucu,-10.4056,-36.4344,24.31,79,19,6.51,BR,1689879867
191,lubuklinggau,-3.3,102.8667,21.78,97,100,1.08,ID,1689879867
192,fort bragg,35.139,-79.006,33.79,51,20,2.06,US,1689879457
193,vilyuchinsk,52.9306,158.4028,12.15,96,100,0.83,RU,1689879868
194,ust'-ilimsk,58.0006,102.6619,14.48,54,7,0.83,RU,1689879518
195,taos,36.4072,-105.5731,33.22,23,0,5.14,US,1689879826
196,iranshahr,27.2025,60.6848,38.19,41,0,5.14,IR,1689879869
197,hamilton,39.1834,-84.5333,32.63,67,81,1.79,US,1689879659
198,gadzhiyevo,69.2551,33.3362,9.21,86,100,7.91,RU,1689879499
199,greymouth,-42.4667,171.2,5.04,82,100,5.87,NZ,1689879871
200,mbuji-mayi,-6.15,23.6,27.79,25,43,0.68,CD,1689879871
201,ancud,-41.8697,-73.8203,11.36,89,7,9.09,CL,1689879358
202,port elizabeth,-33.918,25.5701,12.16,54,75,4.63,ZA,1689879872
203,viana do castelo,41.6932,-8.8329,19.16,82,0,3.91,PT,1689879873
204,tolanaro,-25.0319,46.9987,21.04,88,20,2.06,MG,1689879354
205,sechura,-5.5569,-80.8222,27.86,56,3,5.94,PE,1689879537
206,rehoboth,-23.3167,17.0833,12.46,25,8,0.18,NA,1689879874
207,fort st. john,56.2499,-120.8529,22.94,49,0,1.54,CA,1689879874
208,arkhangel'sk,64.5401,40.5433,16.85,94,98,3.25,RU,1689879570
209,yelizovo,53.1873,158.3805,12.08,100,100,1.0,RU,1689879875
210,buenos aires,-34.6132,-58.3772,16.82,74,20,3.58,AR,1689879717
211,faaborg,55.0951,10.2423,16.0,72,67,7.02,DK,1689879876
212,hirara,24.8,125.2833,26.92,94,20,2.06,JP,1689879347
213,mbandaka,0.0487,18.2603,25.99,62,74,0.84,CD,1689879877
214,cockburn town,21.4612,-71.1419,28.3,79,100,8.44,TC,1689879642
215,colonia,50.9333,6.95,22.76,46,0,2.06,DE,1689879809
216,port saint john's,-31.6229,29.5448,13.86,56,91,1.61,ZA,1689879568
217,mao,39.8885,4.2658,27.31,83,0,2.06,ES,1689879878
218,ust-nera,64.5667,143.2,21.67,46,31,2.68,RU,1689879879
219,qom,34.6401,50.8764,35.65,17,85,7.21,IR,1689879879
220,ola,59.5833,151.2833,14.17,83,17,1.33,RU,1689879363
221,yuzhno-kurilsk,44.0306,145.8556,12.93,95,12,2.51,RU,1689879732
222,dickinson,29.4608,-95.0513,38.9,53,0,2.24,US,1689879880
223,qarauyl,48.9451,79.255,21.77,42,44,1.33,KZ,1689879881
224,cabo san lucas,22.8909,-109.9124,37.01,63,35,4.47,MX,1689879399
225,tonganoxie,39.1097,-95.0878,32.36,57,20,4.12,US,1689879764
226,kiama,-34.6833,150.8667,14.65,65,96,9.39,AU,1689879883
227,danielskuil,-28.1887,23.5395,6.77,40,66,3.79,ZA,1689879883
228,kapuskasing,49.4169,-82.4331,21.05,73,75,1.03,CA,1689879722
229,geraldton,-28.7667,114.6,5.23,93,0,4.63,AU,1689879849
230,whitehorse,60.7161,-135.0538,18.94,45,75,2.06,CA,1689879328
231,camana,-16.6228,-72.7111,18.91,73,44,2.52,PE,1689879885
232,isangel,-19.55,169.2667,21.06,94,100,0.0,VU,1689879886
233,raiwind,31.2544,74.2178,32.06,52,1,1.9,PK,1689879657
234,macon,39.8667,-88.9668,31.86,74,75,4.63,US,1689879887
235,las lomas,8.4333,-82.4,32.67,62,40,2.24,PA,1689879887
236,stephenville,32.2207,-98.2023,39.87,24,0,4.12,US,1689879888
237,plettenberg bay,-34.0527,23.3716,10.01,71,1,4.87,ZA,1689879889
238,lazaro cardenas,17.9583,-102.2,32.55,56,86,1.07,MX,1689879424
239,tsiombe,-25.3,45.4833,19.41,84,19,4.21,MG,1689879890
240,idil,37.3411,41.8895,28.96,14,0,4.12,TR,1689879891
241,marsh harbour,26.5412,-77.0636,30.7,66,100,5.68,BS,1689879891
242,agat village,13.3886,144.6585,28.52,90,0,2.57,GU,1689879372
243,ta`u,-14.2336,-169.5144,26.28,77,79,9.66,AS,1689879417
244,aykhal,66.0,111.5,13.78,75,100,1.95,RU,1689879892
245,jaumave,23.4167,-99.3833,35.2,23,6,3.11,MX,1689879893
246,velyka bahachka,49.7912,33.7226,18.57,80,100,4.65,UA,1689879893
247,maragogi,-9.0122,-35.2225,25.26,72,7,6.3,BR,1689879893
248,yaren,-0.5472,166.916,27.45,80,100,5.83,NR,1689879546
249,isla mujeres,21.2311,-86.731,32.03,68,10,4.51,MX,1689879894
250,bengkulu,-3.8004,102.2655,24.15,89,91,1.99,ID,1689879895
251,baki,-7.6128,110.7839,22.26,82,22,5.49,ID,1689879896
252,kangding,30.0513,101.9603,15.69,99,100,0.92,CN,1689879896
253,ghat,24.9647,10.1728,33.42,14,0,5.19,LY,1689879655
254,qaqortoq,60.7167,-46.0333,6.1,95,100,4.14,GL,1689879897
255,khovd,48.0056,91.6419,24.67,24,100,6.27,MN,1689879444
256,zaysan,47.4667,84.8667,20.99,47,0,3.4,KZ,1689879898
257,kurumkan,54.3,110.3,14.59,68,53,1.96,RU,1689879898
258,thanh hoa,19.8,105.7667,25.91,90,78,1.2,VN,1689879753
259,kingston,17.997,-76.7936,28.53,79,75,7.72,JM,1689879899
260,panzos,15.4,-89.6667,32.98,55,62,2.14,GT,1689879899
261,krasnovishersk,60.4078,57.082,13.77,98,5,2.1,RU,1689879900
262,kuvshinovo,57.0295,34.1725,13.08,73,73,2.66,RU,1689879900
263,susuman,62.7833,148.1667,18.35,69,15,2.29,RU,1689879571
264,svetlyy,54.675,20.1347,16.09,76,2,4.52,RU,1689879901
265,giddings,30.1827,-96.9364,37.79,36,0,2.57,US,1689879902
266,oroquieta,8.4858,123.8044,24.32,91,100,2.28,PH,1689879903
267,tabina,7.4669,123.4081,26.26,82,100,1.68,PH,1689879904
268,saint-philippe,-21.3585,55.7679,21.77,85,42,3.57,RE,1689879905
269,broken hill,-31.95,141.4333,7.3,79,6,4.94,AU,1689879751
270,belen,36.4891,36.2233,25.08,54,0,6.69,TR,1689879907
271,rio grande,-32.035,-52.0986,17.06,87,100,4.6,BR,1689879907
272,port-vila,-17.7338,168.3219,18.78,100,75,1.03,VU,1689879908
273,makoua,0.0069,15.6333,27.78,51,91,1.1,CG,1689879473
274,korla,41.7597,86.1469,31.1,25,15,4.44,CN,1689879761
275,severo-yeniseyskiy,60.3725,93.0408,14.08,60,0,1.8,RU,1689879679
276,klyuchi,52.2667,79.1667,20.83,58,49,2.89,RU,1689879910
277,caucaia,-3.7361,-38.6531,28.97,3,0,7.72,BR,1689879819
278,richfield,44.8833,-93.283,24.21,64,75,6.69,US,1689879911
279,gaalkacyo,6.7697,47.4308,28.75,46,98,11.19,SO,1689879472
280,piti village,13.4626,144.6933,28.49,84,20,2.57,GU,1689879911
281,xiaoweizhai,26.1903,107.5125,21.06,98,100,1.68,CN,1689879912
282,dhidhdhoo,6.8833,73.1,28.31,80,100,8.06,MV,1689879912
283,popilnia,49.9665,29.4435,16.8,93,12,4.23,UA,1689879913
284,pisco,-13.7,-76.2167,22.03,68,40,4.12,PE,1689879461
285,timbuktu,16.7735,-3.0074,37.71,28,18,6.04,ML,1689879914
286,katangi,23.45,79.7833,27.67,72,22,1.38,IN,1689879914
287,guarapari,-20.6667,-40.4975,23.27,83,100,3.89,BR,1689879915
288,winnipeg,49.8844,-97.147,28.9,42,40,2.57,CA,1689879692
289,anacapri,40.5558,14.2136,28.88,83,0,1.17,IT,1689879796
290,victoria,22.2855,114.1577,29.1,84,100,1.91,HK,1689879916
291,as sulayyil,20.4607,45.5779,39.14,8,100,2.44,SA,1689879917
